               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.057596,            0.016635,                   0,             0.94653,             0.98067,             0.99151,             0.65105,            0.026063,           0.0067555,                   0,            0.003328,            0.003328,            0.070048
                   1,            0.033921,           0.0072462,                   0,              0.9959,             0.99573,             0.99491,             0.64401,            0.024763,           0.0046227,                   0,           0.0066394,           0.0066394,            0.040026
                   2,             0.03066,           0.0057391,                   0,              0.9999,             0.99917,               0.995,             0.62866,            0.023317,           0.0037114,                   0,           0.0099287,           0.0099287,            0.009982
                   3,            0.025802,           0.0048725,                   0,             0.99996,              0.9999,               0.995,             0.81431,            0.014979,           0.0031417,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.021413,           0.0042512,                   0,             0.99984,              0.9995,               0.995,             0.81257,            0.014496,           0.0027471,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.019676,           0.0039088,                   0,             0.99973,              0.9999,               0.995,             0.84421,            0.012217,           0.0025856,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.018245,           0.0037475,                   0,             0.99999,              0.9999,               0.995,              0.8571,            0.011547,           0.0024444,                   0,            0.009835,            0.009835,            0.009835
                   7,             0.01709,           0.0035631,                   0,             0.99996,              0.9999,               0.995,             0.88656,           0.0099358,           0.0023371,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.016454,           0.0034959,                   0,              0.9999,             0.99947,               0.995,              0.8697,            0.010645,           0.0023315,                   0,            0.009769,            0.009769,            0.009769
                   9,             0.01564,            0.003353,                   0,             0.99999,              0.9999,               0.995,             0.89881,           0.0092738,           0.0020798,                   0,            0.009736,            0.009736,            0.009736
                  10,              0.0153,           0.0032883,                   0,             0.99977,              0.9999,               0.995,             0.90208,            0.009027,           0.0020738,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.014776,           0.0032728,                   0,             0.99999,                   1,               0.995,             0.90479,           0.0088502,           0.0020163,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.014333,            0.003137,                   0,             0.99988,                   1,               0.995,             0.90417,           0.0086504,           0.0019676,                   0,            0.009637,            0.009637,            0.009637
