               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.057596,            0.016635,                   0,             0.94653,             0.98067,             0.99151,             0.65105,            0.026063,           0.0067555,                   0,            0.003328,            0.003328,            0.070048
                   1,            0.033637,           0.0072004,                   0,             0.99696,             0.98486,              0.9949,             0.68735,            0.024438,           0.0044724,                   0,           0.0064965,           0.0064965,            0.039883
                   2,            0.030706,           0.0057541,                   0,             0.99932,               0.999,             0.99499,             0.64333,            0.023243,           0.0037324,                   0,           0.0094999,           0.0094999,           0.0095533
                   3,            0.025592,            0.004844,                   0,             0.96605,             0.99596,             0.99364,             0.79689,            0.015114,           0.0034057,                   0,           0.0092575,           0.0092575,           0.0092575
                   4,            0.021267,           0.0042367,                   0,             0.99987,              0.9999,               0.995,             0.84325,            0.013147,           0.0027626,                   0,           0.0092575,           0.0092575,           0.0092575
                   5,            0.019301,            0.003877,                   0,             0.99963,              0.9996,             0.99499,             0.85776,            0.011803,           0.0025723,                   0,             0.00901,             0.00901,             0.00901
                   6,            0.017617,           0.0036894,                   0,             0.99999,              0.9999,               0.995,             0.86156,            0.011293,           0.0024309,                   0,           0.0087625,           0.0087625,           0.0087625
                   7,            0.016444,           0.0035127,                   0,                   1,             0.99997,               0.995,             0.87564,            0.010162,           0.0022849,                   0,            0.008515,            0.008515,            0.008515
                   8,            0.015636,           0.0033967,                   0,                   1,             0.99997,               0.995,             0.88758,           0.0096126,           0.0021789,                   0,           0.0082675,           0.0082675,           0.0082675
                   9,            0.014664,           0.0032445,                   0,             0.99962,                   1,               0.995,             0.89649,           0.0091557,           0.0020755,                   0,             0.00802,             0.00802,             0.00802
                  10,            0.014199,           0.0031864,                   0,             0.99952,              0.9995,               0.995,             0.90403,           0.0088352,           0.0020574,                   0,           0.0077725,           0.0077725,           0.0077725
                  11,            0.013798,           0.0031792,                   0,             0.99999,                   1,               0.995,             0.90943,           0.0083793,           0.0019638,                   0,            0.007525,            0.007525,            0.007525
                  12,            0.013152,            0.003013,                   0,             0.99987,              0.9998,               0.995,             0.91098,            0.008317,           0.0019071,                   0,           0.0072775,           0.0072775,           0.0072775
                  13,            0.012892,             0.00299,                   0,             0.99999,                   1,               0.995,             0.91991,           0.0077813,             0.00182,                   0,             0.00703,             0.00703,             0.00703
                  14,            0.012399,            0.002897,                   0,             0.99999,                   1,               0.995,             0.92311,            0.007656,            0.001791,                   0,           0.0067825,           0.0067825,           0.0067825
                  15,             0.01177,           0.0028298,                   0,             0.99999,              0.9999,               0.995,               0.928,           0.0072515,            0.001752,                   0,            0.006535,            0.006535,            0.006535
                  16,            0.011802,           0.0028021,                   0,             0.99999,                   1,               0.995,              0.9285,           0.0071641,           0.0017301,                   0,           0.0062875,           0.0062875,           0.0062875
                  17,            0.011394,           0.0027361,                   0,                   1,                   1,               0.995,             0.93022,           0.0069771,           0.0016925,                   0,             0.00604,             0.00604,             0.00604
                  18,            0.011057,           0.0027061,                   0,             0.99999,                   1,               0.995,              0.9351,            0.006737,           0.0016383,                   0,           0.0057925,           0.0057925,           0.0057925
                  19,            0.010789,           0.0026548,                   0,             0.99999,                   1,               0.995,             0.94139,           0.0065874,           0.0016104,                   0,            0.005545,            0.005545,            0.005545
                  20,            0.010619,           0.0026322,                   0,             0.99999,                   1,               0.995,             0.94248,           0.0064952,           0.0015723,                   0,           0.0052975,           0.0052975,           0.0052975
                  21,            0.010259,           0.0025258,                   0,             0.99999,                   1,               0.995,              0.9422,           0.0064745,           0.0015558,                   0,             0.00505,             0.00505,             0.00505
                  22,           0.0099662,           0.0024893,                   0,             0.99999,                   1,               0.995,             0.94809,           0.0062384,           0.0015173,                   0,           0.0048025,           0.0048025,           0.0048025
                  23,           0.0097397,           0.0024516,                   0,             0.99999,                   1,               0.995,             0.94834,           0.0061828,           0.0015022,                   0,            0.004555,            0.004555,            0.004555
                  24,            0.009625,            0.002447,                   0,             0.99999,                   1,               0.995,             0.94792,           0.0061882,           0.0014691,                   0,           0.0043075,           0.0043075,           0.0043075
