               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074498,            0.017996,                   0,          0.00012783,            0.039078,          7.5306e-05,           2.002e-05,             0.14386,              43.234,                   0,           0.0032813,           0.0032813,            0.070469
                   1,            0.055285,            0.013556,                   0,          8.7029e-05,             0.02621,          4.7798e-05,          8.5128e-06,             0.15861,              7.1938,                   0,           0.0065491,           0.0065491,            0.040403
                   2,            0.051824,            0.011483,                   0,             0.42779,             0.43086,             0.25623,            0.071586,            0.074128,            0.082355,                   0,           0.0097509,           0.0097509,            0.010272
                   3,            0.047942,            0.010701,                   0,             0.51745,             0.50071,             0.49121,             0.19275,            0.068431,              0.1182,                   0,            0.009703,            0.009703,            0.009703
                   4,             0.04224,           0.0093139,                   0,          0.00052715,            0.017034,          0.00021441,           7.068e-05,             0.11232,             0.75616,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.040582,            0.008922,                   0,             0.63702,             0.71394,             0.73891,             0.34988,            0.039708,           0.0074898,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.041258,           0.0088387,                   0,             0.59323,             0.44689,             0.51775,             0.29184,            0.044071,             0.03536,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.038641,            0.008159,                   0,             0.78079,             0.62325,             0.78108,             0.46584,            0.029759,           0.0085059,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.036071,           0.0078676,                   0,             0.91087,              0.8397,             0.93777,             0.56464,            0.027436,           0.0054823,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.034132,           0.0077563,                   0,             0.80767,             0.88566,             0.92704,             0.59919,            0.027581,           0.0058803,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.034681,           0.0071001,                   0,             0.86884,             0.83267,             0.93339,              0.5781,             0.02681,             0.00552,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.033044,           0.0070276,                   0,              0.9225,             0.82665,             0.93093,             0.57645,            0.026546,           0.0052517,                   0,             0.00901,             0.00901,             0.00901
                  12,             0.03266,           0.0069221,                   0,              0.8479,             0.86774,             0.93177,             0.53363,            0.029663,           0.0053635,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.032183,           0.0067499,                   0,             0.85557,             0.88477,             0.95098,              0.6229,            0.027133,           0.0052407,                   0,            0.008812,            0.008812,            0.008812
                  14,             0.03084,           0.0066326,                   0,              0.8639,             0.88454,             0.94006,             0.60074,            0.025896,           0.0047794,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.030885,           0.0062505,                   0,             0.94973,             0.96549,             0.98715,             0.66454,            0.024021,           0.0047027,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.030183,           0.0062281,                   0,             0.96181,             0.95903,             0.98798,             0.65213,             0.02269,           0.0041435,                   0,            0.008515,            0.008515,            0.008515
                  17,             0.02918,           0.0062916,                   0,             0.96776,             0.96261,             0.99079,             0.68777,            0.021938,           0.0043467,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.029912,           0.0060321,                   0,             0.91025,             0.95691,              0.9828,             0.68071,            0.023257,           0.0041489,                   0,            0.008317,            0.008317,            0.008317
                  19,             0.02893,           0.0059507,                   0,             0.97363,             0.96393,              0.9911,             0.69187,            0.022423,           0.0047218,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.028736,           0.0060882,                   0,             0.82858,              0.8104,             0.89458,             0.55867,            0.029233,           0.0065516,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.027449,           0.0057741,                   0,             0.97327,             0.87551,             0.97604,             0.57976,            0.026399,           0.0047463,                   0,             0.00802,             0.00802,             0.00802
                  22,             0.02813,           0.0060033,                   0,             0.96243,             0.97541,             0.99015,             0.67463,            0.023334,            0.004007,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.027749,           0.0060243,                   0,             0.97796,             0.99098,             0.99398,             0.71225,            0.021106,           0.0038801,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.025293,           0.0056083,                   0,             0.97704,             0.98075,             0.99309,             0.72174,            0.020138,           0.0037571,                   0,            0.007723,            0.007723,            0.007723
                  25,             0.02547,           0.0054326,                   0,             0.98903,             0.99372,             0.99456,             0.70686,            0.020419,           0.0038357,                   0,            0.007624,            0.007624,            0.007624
                  26,             0.02646,           0.0055509,                   0,             0.98525,             0.97994,             0.99201,             0.69508,            0.021862,            0.004631,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.025627,           0.0052051,                   0,             0.97071,             0.98597,             0.99286,             0.73897,            0.019846,           0.0036917,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.025779,           0.0055047,                   0,             0.95896,             0.98497,             0.99048,             0.70398,              0.0203,            0.004015,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.025232,           0.0053777,                   0,             0.99634,             0.99299,             0.99484,               0.658,            0.022685,           0.0038073,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.025623,            0.005291,                   0,             0.98012,             0.95491,             0.98832,             0.68008,             0.02242,           0.0039809,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.024277,           0.0051547,                   0,               0.978,             0.97988,             0.99269,              0.7108,            0.021271,            0.003666,                   0,             0.00703,             0.00703,             0.00703
                  32,             0.02572,           0.0052582,                   0,             0.98458,             0.96894,               0.993,             0.73282,            0.019399,           0.0036681,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.025695,           0.0051763,                   0,             0.95178,             0.98897,             0.99204,             0.71714,            0.019306,            0.003832,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.023383,           0.0051756,                   0,             0.95069,             0.98798,             0.99251,             0.73659,            0.019529,            0.003625,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.024178,           0.0052127,                   0,             0.97117,             0.97888,             0.99114,              0.6981,            0.020368,           0.0040261,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.024342,           0.0054167,                   0,             0.98849,             0.99098,             0.99459,             0.74406,            0.018693,           0.0034746,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.023931,           0.0050137,                   0,             0.98711,             0.99699,              0.9948,             0.74011,            0.018799,           0.0038467,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.023426,           0.0048551,                   0,             0.99557,             0.99599,               0.995,             0.73156,            0.018454,           0.0033999,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.024152,           0.0050014,                   0,             0.97908,             0.98478,             0.99246,             0.74485,            0.018523,           0.0035363,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.024594,           0.0053655,                   0,             0.98528,             0.99198,             0.99445,             0.75575,            0.017812,           0.0033642,                   0,            0.006139,            0.006139,            0.006139
                  41,             0.02477,           0.0053852,                   0,             0.97205,             0.97583,             0.99197,             0.76023,            0.018037,           0.0035382,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.022904,           0.0051195,                   0,             0.99301,              0.9968,             0.99497,             0.75508,            0.018385,           0.0034436,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.022729,           0.0050231,                   0,             0.99004,             0.99608,             0.99491,             0.73383,            0.019451,           0.0034464,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.022172,           0.0048509,                   0,               0.996,             0.99856,               0.995,             0.71171,            0.020764,           0.0035396,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.023271,           0.0048948,                   0,             0.99498,             0.99272,              0.9949,             0.77014,             0.01694,           0.0034741,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.022048,           0.0049121,                   0,             0.99204,             0.99953,             0.99493,             0.77097,            0.016628,           0.0032097,                   0,            0.005545,            0.005545,            0.005545
