               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098687,             0.02388,                   0,           0.0031367,             0.95892,            0.080579,            0.017012,            0.063066,            0.016959,                   0,           0.0032813,           0.0032813,            0.070469
                   1,             0.06691,            0.016644,                   0,            0.021923,             0.87575,             0.18949,            0.049945,             0.06057,            0.012847,                   0,           0.0064509,           0.0064509,            0.040305
                   2,            0.056961,            0.015073,                   0,             0.29903,             0.78657,             0.60686,             0.18184,            0.047071,            0.011788,                   0,           0.0094555,           0.0094555,           0.0099763
                   3,            0.049148,            0.013359,                   0,             0.84251,             0.87909,             0.91546,             0.44962,            0.037659,           0.0086472,                   0,           0.0092575,           0.0092575,           0.0092575
                   4,            0.041679,            0.010545,                   0,             0.93664,              0.9035,             0.95455,             0.53102,            0.029954,           0.0071627,                   0,           0.0092575,           0.0092575,           0.0092575
                   5,            0.037961,           0.0093377,                   0,             0.98671,             0.97796,             0.99326,             0.60755,            0.025553,            0.006229,                   0,             0.00901,             0.00901,             0.00901
                   6,            0.033817,           0.0081572,                   0,             0.95217,             0.97731,             0.99255,             0.63517,            0.027371,           0.0053159,                   0,           0.0087625,           0.0087625,           0.0087625
                   7,            0.032711,           0.0070577,                   0,             0.99388,             0.97555,             0.99448,             0.54961,            0.033723,           0.0047458,                   0,            0.008515,            0.008515,            0.008515
                   8,            0.030183,           0.0065808,                   0,             0.99699,              0.9956,             0.99499,             0.62674,            0.023202,           0.0043397,                   0,           0.0082675,           0.0082675,           0.0082675
                   9,            0.028266,           0.0062874,                   0,               0.999,             0.99799,               0.995,             0.65664,            0.026523,           0.0041076,                   0,             0.00802,             0.00802,             0.00802
                  10,            0.027855,           0.0056601,                   0,             0.99962,               0.998,               0.995,             0.60984,            0.024873,           0.0038848,                   0,           0.0077725,           0.0077725,           0.0077725
                  11,            0.027077,           0.0054012,                   0,             0.99984,               0.999,               0.995,             0.71052,            0.019447,           0.0038262,                   0,            0.007525,            0.007525,            0.007525
                  12,            0.024244,           0.0054056,                   0,             0.99977,                   1,               0.995,               0.765,            0.016788,           0.0035227,                   0,           0.0072775,           0.0072775,           0.0072775
                  13,            0.024345,           0.0050599,                   0,             0.99972,                   1,               0.995,             0.74729,            0.019386,           0.0034743,                   0,             0.00703,             0.00703,             0.00703
                  14,            0.024062,           0.0050423,                   0,             0.99641,               0.998,             0.99477,             0.68541,            0.020675,           0.0035058,                   0,           0.0067825,           0.0067825,           0.0067825
                  15,            0.022608,           0.0047214,                   0,             0.99982,                   1,               0.995,             0.80534,            0.016351,           0.0033219,                   0,            0.006535,            0.006535,            0.006535
                  16,            0.022056,           0.0047719,                   0,             0.99982,                   1,               0.995,             0.77867,            0.016568,           0.0032277,                   0,           0.0062875,           0.0062875,           0.0062875
                  17,            0.021137,             0.00465,                   0,             0.99991,                   1,               0.995,             0.78699,             0.01498,           0.0032254,                   0,             0.00604,             0.00604,             0.00604
