               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.057596,            0.016635,                   0,             0.94653,             0.98067,             0.99151,             0.65105,            0.026063,           0.0067555,                   0,            0.003328,            0.003328,            0.070048
                   1,             0.03361,           0.0072129,                   0,              0.9989,             0.99449,             0.99496,             0.74274,            0.021676,           0.0045124,                   0,           0.0063316,           0.0063316,            0.039718
                   2,            0.030268,           0.0057609,                   0,             0.99819,             0.99006,             0.99496,             0.73703,            0.019328,           0.0037144,                   0,           0.0090052,           0.0090052,           0.0090585
                   3,            0.025025,           0.0048127,                   0,              0.9999,             0.99087,               0.995,             0.76698,             0.01556,           0.0031798,                   0,            0.008515,            0.008515,            0.008515
                   4,            0.021084,           0.0042248,                   0,              0.9996,             0.99984,               0.995,             0.82741,            0.014067,           0.0027623,                   0,            0.008515,            0.008515,            0.008515
                   5,            0.018861,            0.003844,                   0,             0.99999,              0.9999,               0.995,             0.85523,            0.011914,           0.0026036,                   0,             0.00802,             0.00802,             0.00802
                   6,            0.016941,           0.0036143,                   0,             0.99997,              0.9999,               0.995,             0.86695,            0.010705,           0.0023787,                   0,            0.007525,            0.007525,            0.007525
                   7,             0.01558,           0.0034185,                   0,             0.99987,                   1,               0.995,             0.87984,            0.010012,           0.0022218,                   0,             0.00703,             0.00703,             0.00703
                   8,            0.014558,           0.0032927,                   0,              0.9996,             0.99984,               0.995,             0.89069,            0.009591,            0.002131,                   0,            0.006535,            0.006535,            0.006535
                   9,            0.013622,           0.0031457,                   0,              0.9999,              0.9999,               0.995,             0.90321,           0.0086799,           0.0019902,                   0,             0.00604,             0.00604,             0.00604
                  10,              0.0129,           0.0030362,                   0,             0.99999,                   1,               0.995,             0.91257,           0.0080664,           0.0019095,                   0,            0.005545,            0.005545,            0.005545
                  11,            0.012292,            0.003007,                   0,             0.99998,                   1,               0.995,             0.91716,           0.0078839,           0.0018435,                   0,             0.00505,             0.00505,             0.00505
                  12,            0.011524,           0.0028186,                   0,             0.99999,                   1,               0.995,             0.92345,           0.0075065,            0.001786,                   0,            0.004555,            0.004555,            0.004555
                  13,             0.01095,           0.0027668,                   0,             0.99999,                   1,               0.995,             0.92986,           0.0071597,           0.0017249,                   0,             0.00406,             0.00406,             0.00406
                  14,            0.010386,           0.0026658,                   0,             0.99999,                   1,               0.995,             0.93333,           0.0069058,           0.0016519,                   0,            0.003565,            0.003565,            0.003565
                  15,           0.0098579,           0.0025867,                   0,             0.99999,                   1,               0.995,             0.93999,           0.0066047,           0.0016184,                   0,             0.00307,             0.00307,             0.00307
                  16,           0.0095935,           0.0025542,                   0,             0.99999,                   1,               0.995,             0.94019,           0.0065997,            0.001587,                   0,            0.002575,            0.002575,            0.002575
                  17,           0.0092136,           0.0024631,                   0,             0.99999,                   1,               0.995,             0.94169,           0.0064835,           0.0015412,                   0,             0.00208,             0.00208,             0.00208
                  18,           0.0088454,           0.0024266,                   0,             0.99999,                   1,               0.995,             0.94904,           0.0061693,           0.0014881,                   0,            0.001585,            0.001585,            0.001585
                  19,           0.0086683,           0.0023819,                   0,             0.99999,                   1,               0.995,             0.95262,           0.0059348,           0.0014474,                   0,             0.00109,             0.00109,             0.00109
