               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.057596,            0.016635,                   0,             0.94653,             0.98067,             0.99151,             0.65105,            0.026063,           0.0067555,                   0,            0.003328,            0.003328,            0.070048
                   1,            0.032806,           0.0072122,                   0,              0.9985,             0.99649,             0.99499,             0.71085,            0.023026,           0.0045101,                   0,           0.0053424,           0.0053424,            0.038729
                   2,            0.028171,           0.0055842,                   0,             0.99892,              0.9985,             0.99498,              0.7044,            0.021133,           0.0036099,                   0,           0.0060368,           0.0060368,           0.0060901
                   3,            0.021246,           0.0045189,                   0,                   1,             0.99977,               0.995,             0.78818,            0.014792,           0.0029996,                   0,             0.00406,             0.00406,             0.00406
                   4,            0.018922,           0.0040697,                   0,             0.99998,                   1,               0.995,             0.86021,            0.011167,           0.0026493,                   0,             0.00406,             0.00406,             0.00406
