               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098687,             0.02388,                   0,           0.0031367,             0.95892,            0.080579,            0.017012,            0.063066,            0.016959,                   0,           0.0032813,           0.0032813,            0.070469
                   1,            0.066241,            0.016774,                   0,            0.028718,             0.88978,             0.56963,             0.18461,            0.053471,            0.013137,                   0,           0.0065491,           0.0065491,            0.040403
                   2,             0.05818,            0.014571,                   0,             0.47741,             0.80661,             0.69712,             0.29854,            0.041292,            0.012194,                   0,           0.0097509,           0.0097509,            0.010272
                   3,            0.050547,            0.013184,                   0,             0.76021,             0.77455,             0.82816,             0.36254,            0.046261,           0.0086653,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.042766,            0.010252,                   0,             0.83055,             0.91884,              0.9538,             0.53254,            0.036009,           0.0078712,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.037953,           0.0091712,                   0,             0.90752,             0.89475,             0.93413,             0.37905,            0.036307,           0.0054326,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.035255,           0.0080793,                   0,              0.9827,             0.97796,             0.99398,             0.61867,            0.028263,           0.0051166,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.032149,           0.0070028,                   0,             0.99058,             0.99198,             0.99488,               0.602,            0.028731,           0.0049063,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.031799,           0.0067325,                   0,             0.99899,             0.98716,             0.99482,             0.65234,            0.021622,           0.0044034,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.028941,           0.0061994,                   0,               0.995,             0.99618,             0.99491,             0.65046,            0.025288,           0.0041283,                   0,            0.009208,            0.009208,            0.009208
                  10,             0.02897,           0.0057117,                   0,             0.99799,             0.99285,             0.99493,             0.69342,            0.023979,           0.0039552,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.028773,           0.0054952,                   0,             0.99797,             0.98735,             0.99495,             0.71183,            0.020358,           0.0040975,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.026079,           0.0055703,                   0,             0.98205,               0.999,             0.99469,             0.71002,            0.018798,           0.0038343,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.025118,           0.0051568,                   0,               0.999,             0.99634,             0.99478,             0.72609,            0.020689,           0.0035684,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.025788,           0.0051552,                   0,                   1,             0.99336,               0.995,             0.75825,            0.017986,           0.0035902,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.023812,            0.004835,                   0,                   1,             0.99888,               0.995,             0.69209,            0.021144,           0.0036837,                   0,            0.008614,            0.008614,            0.008614
